osmid,y,x,street_count,highway,geometry
1025792816,23.0894278,-82.3441167,1,,POINT (-82.3441167 23.0894278)
1025792818,23.088187,-82.3440815,4,,POINT (-82.3440815 23.088187)
1025792819,23.0889849,-82.3422461,1,,POINT (-82.3422461 23.0889849)
1025792822,23.0870931,-82.3421624,4,,POINT (-82.34216240000001 23.0870931)
1025792823,23.0885303,-82.342557,4,,POINT (-82.342557 23.0885303)
1025792824,23.0894599,-82.3432332,1,,POINT (-82.3432332 23.0894599)
1025792825,23.0890643,-82.343503,4,,POINT (-82.343503 23.0890643)
1025795141,23.0757783,-82.3588545,3,,POINT (-82.35885450000001 23.0757783)
1025795142,23.0752678,-82.3595923,4,,POINT (-82.3595923 23.0752678)
1025795143,23.0757495,-82.36036,3,,POINT (-82.36036 23.0757495)
1025795144,23.0753482,-82.3606636,1,,POINT (-82.3606636 23.0753482)
1025795146,23.0750515,-82.359287,1,,POINT (-82.35928699999999 23.0750515)
1025795147,23.0748454,-82.359927,1,,POINT (-82.359927 23.0748454)
1025796231,23.062171,-82.3686469,4,,POINT (-82.3686469 23.062171)
1025796250,23.06081,-82.3688746,3,,POINT (-82.3688746 23.06081)
1025796256,23.0595193,-82.3664373,3,,POINT (-82.3664373 23.0595193)
1025796268,23.0594417,-82.370577,1,,POINT (-82.370577 23.0594417)
1025803634,23.0521393,-82.3872706,1,,POINT (-82.38727059999999 23.0521393)
1025808357,23.0637539,-82.3917563,5,,POINT (-82.3917563 23.0637539)
1025808358,23.0409105,-82.4006532,3,,POINT (-82.40065319999999 23.0409105)
1025808371,23.0644545,-82.3922142,3,traffic_signals,POINT (-82.3922142 23.0644545)
1025808374,23.0660612,-82.3931365,4,,POINT (-82.3931365 23.0660612)
1025810217,23.0762292,-82.3807014,1,,POINT (-82.38070140000001 23.0762292)
1025810218,23.0785202,-82.3843809,4,,POINT (-82.3843809 23.0785202)
1025810219,23.0763302,-82.3840873,3,,POINT (-82.3840873 23.0763302)
1025810221,23.0781987,-82.3831982,3,,POINT (-82.3831982 23.0781987)
1025810222,23.0779693,-82.3809215,4,,POINT (-82.3809215 23.0779693)
1025810223,23.0756938,-82.3806341,1,,POINT (-82.38063409999999 23.0756938)
1025810227,23.076617,-82.3818321,4,,POINT (-82.3818321 23.076617)
1025810228,23.0796824,-82.3822794,3,,POINT (-82.3822794 23.0796824)
1025810229,23.0758081,-82.384,3,,POINT (-82.384 23.0758081)
1025810230,23.0785785,-82.3802011,3,,POINT (-82.38020109999999 23.0785785)
1025810233,23.0760805,-82.3817529,4,,POINT (-82.3817529 23.0760805)
1025810234,23.0767512,-82.3807525,3,,POINT (-82.3807525 23.0767512)
1025810235,23.0755508,-82.3816952,4,,POINT (-82.3816952 23.0755508)
1025810236,23.0783387,-82.3820766,3,,POINT (-82.3820766 23.0783387)
1025810240,23.0778314,-82.382015,4,,POINT (-82.382015 23.0778314)
1025810244,23.0787943,-82.3821453,4,,POINT (-82.3821453 23.0787943)
1025810246,23.0798605,-82.3811879,3,,POINT (-82.3811879 23.0798605)
1025810247,23.0775403,-82.3842448,4,,POINT (-82.3842448 23.0775403)
1025810248,23.0784944,-82.3809945,3,,POINT (-82.3809945 23.0784944)
1025814440,23.079255,-82.3665403,1,,POINT (-82.3665403 23.079255)
1025814445,23.0802617,-82.3677333,1,,POINT (-82.3677333 23.0802617)
1025814447,23.0823417,-82.3678157,3,,POINT (-82.36781569999999 23.0823417)
1026052777,23.0301026,-82.3042733,1,,POINT (-82.30427330000001 23.0301026)
1026058815,23.039363,-82.3488363,1,,POINT (-82.3488363 23.039363)
1026058820,23.0361688,-82.3476214,3,,POINT (-82.34762139999999 23.0361688)
1026071524,23.0408414,-82.3250811,4,,POINT (-82.32508110000001 23.0408414)
1026071539,23.0413881,-82.3254115,4,,POINT (-82.3254115 23.0413881)
1026071550,23.041525,-82.3238453,3,,POINT (-82.3238453 23.041525)
1026071559,23.042047,-82.3242419,3,,POINT (-82.3242419 23.042047)
1026071561,23.0406385,-82.3267964,3,,POINT (-82.32679640000001 23.0406385)
1026077348,23.0413239,-82.3272385,3,,POINT (-82.32723850000001 23.0413239)
1026089915,23.068142,-82.3658793,1,,POINT (-82.3658793 23.068142)
1026113675,23.0888898,-82.3314308,3,,POINT (-82.33143080000001 23.0888898)
1026113698,23.0897128,-82.3313312,4,,POINT (-82.33133119999999 23.0897128)
1026120301,23.0884517,-82.3306508,1,turning_circle,POINT (-82.3306508 23.0884517)
1026898468,23.0978588,-82.3800353,3,,POINT (-82.3800353 23.0978588)
1026898474,23.0989521,-82.3795932,3,,POINT (-82.3795932 23.0989521)
1026898480,23.1000641,-82.3797711,3,,POINT (-82.3797711 23.1000641)
1026898490,23.0984844,-82.380035,4,,POINT (-82.38003500000001 23.0984844)
1026898492,23.0972795,-82.3792166,4,,POINT (-82.37921660000001 23.0972795)
1026898497,23.0985625,-82.3805404,4,,POINT (-82.3805404 23.0985625)
1026898506,23.097878,-82.3768002,3,,POINT (-82.37680020000001 23.097878)
1026898526,23.0976198,-82.3809962,3,,POINT (-82.3809962 23.0976198)
1026898536,23.1002081,-82.3801135,3,,POINT (-82.38011349999999 23.1002081)
1026898551,23.0974717,-82.3801695,3,,POINT (-82.38016949999999 23.0974717)
1026903165,23.0980951,-82.3779421,4,,POINT (-82.3779421 23.0980951)
1026912970,23.0959356,-82.3670269,3,,POINT (-82.3670269 23.0959356)
